Geneid,log2FoldChange,pvalue,padj
Os10g0178000,-4.489579396,0.008396388,0.045273703
Os09g0553900,-0.745380346,0.008389356,0.045245308
Os02g0669700,0.786299577,0.008385633,0.045234751
Os03g0174800,-0.584059992,0.00837599,0.045192251
Os08g0430500,0.44354526,0.008374913,0.045192251
Os03g0796400,-0.875659371,0.008347331,0.045056596
Os06g0308100,-0.471845495,0.00832708,0.044956757
Os09g0538700,0.742118037,0.008322493,0.044941461
Os02g0167700,0.410763294,0.008320485,0.04494009
Os02g0276500,-0.377027922,0.008319479,0.04494009
Os03g0357400,-0.528654737,0.008308992,0.044896942
Os10g0542900,0.483670025,0.008304643,0.044882909
Os06g0177600,-0.98954017,0.0083022,0.044879173
Os06g0698400,-1.339625373,0.008294326,0.04484607
Os03g0111400,-0.437777445,0.008286181,0.044811487
Os05g0463800,-0.355095717,0.008278301,0.044778322
Os12g0194800,0.534080237,0.008278232,0.044778322
Os01g0166400,1.237372609,0.008271979,0.044763025
Os03g0333601,-0.650793956,0.00826849,0.044763025
Os03g0861700,0.655903516,0.008271554,0.044763025
Os06g0636700,1.374861749,0.00827144,0.044763025
Os06g0723650,-0.804702363,0.008265058,0.044763025
Os06g0317200,-0.758166057,0.008257354,0.044731114
Os03g0728100,-0.588416879,0.008234066,0.044614396
Os02g0655800,0.617008908,0.008229188,0.044597395
Os04g0508200,0.419375244,0.00822331,0.044574968
Os01g0658400,0.591518773,0.008213932,0.044533556
Os08g0556200,0.545626878,0.008206269,0.044501425
Os04g0546500,-0.399180915,0.008203566,0.044498675
Os06g0680500,0.823836321,0.008204025,0.044498675
Os05g0499400,1.30936186,0.008190066,0.044441777
Os08g0439100,0.398313684,0.008188109,0.044441777
Os09g0571100,-2.483439598,0.008190017,0.044441777
Os07g0600700,0.699896001,0.008172179,0.044372908
Os01g0200400,0.688191101,0.008161922,0.044326608
Os08g0260400,2.52927753,0.008156609,0.044307141
Os01g0624500,-0.330449818,0.00815018,0.044281608
Os03g0227400,3.041666879,0.008147236,0.044275003
Os01g0372100,-0.553505979,0.008144944,0.044271935
Os10g0419700,-3.164193159,0.00813968,0.044252712
Os03g0768900,2.132864396,0.008131853,0.044226657
Os02g0281200,0.772059032,0.008130166,0.044226657
Os08g0397800,0.8207145,0.008133162,0.044226657
Os02g0318500,4.725200745,0.008121334,0.044190471
Os05g0299101,-1.27307518,0.008117874,0.044181027
Os09g0539500,0.489308858,0.008117384,0.044181027
Os01g0509900,1.329125454,0.008113186,0.044174283
Os04g0583332,-1.481681982,0.00810342,0.044130482
Os12g0120100,0.959506512,0.008097347,0.044106787
Os08g0520300,0.369535324,0.008088191,0.044066281
Os04g0649500,4.794439639,0.008085,0.044058264
Os08g0189600,0.978455373,0.008079667,0.044038569
Os06g0489900,-3.695165268,0.008076569,0.044031048
Os10g0140700,1.830733765,0.008074413,0.044028664
Os05g0435400,-0.583549568,0.008070989,0.044019357
Os04g0630800,0.513939454,0.008067032,0.044018247
Os05g0528500,-1.284903917,0.008067814,0.044018247
Os08g0105100,-0.606502569,0.008069067,0.044018247
Os11g0512000,-0.443224196,0.008053004,0.043958694
Os08g0560900,0.471427577,0.008051553,0.043958694
Os08g0344600,0.424704695,0.008049134,0.043956298
Os04g0619300,0.532047426,0.008042859,0.043931396
Os03g0405000,0.553315814,0.008038933,0.043919313
Os02g0255500,0.664917382,0.00803239,0.043892924
Os04g0691600,0.823931658,0.008027995,0.043878268
Os04g0689400,0.538402996,0.008023231,0.043861585
Os03g0214200,-0.418775898,0.008017177,0.043837844
Os01g0895600,-0.37789953,0.008014872,0.043834593
Os01g0292900,-0.480991038,0.008006689,0.043799189
Os02g0653200,3.692404257,0.008000791,0.043776268
Os02g0465900,-0.490029232,0.007993578,0.043746147
Os03g0232400,-0.72272612,0.007987616,0.043724797
Os05g0358200,1.717677579,0.007987971,0.043724797
Os04g0623100,0.396467736,0.007982378,0.043712858
Os09g0423400,-0.92946653,0.007977257,0.043694152
Os07g0454400,-0.499408292,0.007968684,0.043656528
Os06g0652300,-1.592111781,0.007965946,0.043650861
Os10g0124500,2.564196226,0.007954961,0.043599995
Os01g0180000,0.385611379,0.007952978,0.043598453
Os03g0354500,-1.016326172,0.007950598,0.043598453
Os07g0636000,0.530770908,0.007952855,0.043598453
Os07g0664500,3.902211972,0.00794991,0.043598453
Os08g0269500,0.943850635,0.007952976,0.043598453
Os01g0959900,0.703462647,0.007935747,0.043550576
Os03g0784850,4.737497792,0.007930719,0.043532307
Os06g0253350,-1.028579124,0.00793063,0.043532307
Os07g0552800,1.006678626,0.007930541,0.043532307
Os11g0119900,-0.664212192,0.007923665,0.04352156
Os03g0780400,0.36159619,0.00790701,0.043439389
Os05g0125500,-0.480614081,0.007906295,0.043439389
Os04g0170500,-4.562152044,0.007896108,0.043398109
Os03g0107300,-4.558243816,0.007893562,0.04339342
Os04g0430400,1.404701888,0.007892898,0.04339342
Os08g0525600,-0.349180383,0.007889496,0.043389689
Os03g0103800,-0.545372542,0.007887214,0.043386451
Os08g0406500,4.926415072,0.007886153,0.043386451
Os09g0470000,0.909502337,0.007883454,0.043384394
Os01g0546500,0.651144957,0.007880723,0.043378681
Os02g0230875,4.724939718,0.007872402,0.043342188
Os07g0674100,0.702223382,0.007870357,0.043340244
Os12g0169400,-0.507283381,0.007858839,0.04328612
Os12g0447466,1.066594598,0.007856967,0.043285111
Os10g0418000,1.067223398,0.007846095,0.043234514
Os03g0285300,1.426316902,0.007843768,0.043232565
Os03g0696300,-0.402631935,0.007844054,0.043232565
Os11g0588100,-5.329601091,0.007843559,0.043232565
Os04g0445900,1.845188355,0.007837403,0.043223801
Os12g0129400,0.450893201,0.007832118,0.043203951
Os12g0139700,1.664542468,0.007823944,0.043168157
Os03g0432900,-0.40148517,0.007803946,0.043068295
Os08g0447900,-1.412146586,0.007804164,0.043068295
Os06g0721900,-0.805660749,0.007790225,0.043009899
Os08g0106300,-2.184033332,0.00778986,0.043009899
Os07g0568200,0.439755156,0.007781912,0.042982526
Os07g0408100,0.432226131,0.007778251,0.042971569
Os01g0212700,1.371286309,0.007773282,0.042953374
Os05g0186300,0.749640325,0.007751472,0.0428421
Os06g0641500,1.867616817,0.007747019,0.042826723
Os06g0661766,-0.429147772,0.007738248,0.042787469
Os04g0382900,2.194305601,0.007735678,0.042782492
