geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,hd1,hd2,hd3,c1,c2,c3
Os01g0104500,6331.384191,-0.503741083,0.176251457,-2.858081802,0.004262105,0.026714265,12.43463072,12.48330918,12.27217857,12.44609307,13.07394563,13.06534225
Os01g0104600,424.6815101,0.079481608,0.184630984,0.430489001,0.666839966,0.830983809,9.26069455,9.213676384,9.148689669,8.920887674,9.298417152,9.199313369
Os01g0104800,472.8706074,0.268738554,0.199213759,1.348995949,0.177338267,0.389669705,9.125464694,9.484231812,9.54089504,9.076941899,9.371794589,9.100293136
Os01g0104900,20.55150647,-0.070811115,0.590033356,-0.120012054,0.9044736,0.95940251,7.045658763,6.92249594,7.241450283,7.124825855,6.925972853,7.216070545
Os01g0105300,10.33350037,0.273953226,0.906505362,0.30220806,0.762493461,0.888910776,6.98333239,6.904399879,6.834024229,6.938576856,7.001019093,6.382921164
Os01g0105700,20.4321197,-1.428285616,0.702182456,-2.034066223,0.041944919,0.148303389,7.154428712,6.752660279,6.668918923,7.104353611,7.146510078,7.409999231
Os01g0105800,87.90916366,-1.162141648,0.317621016,-3.658894058,0.000253306,0.002729378,7.543927922,7.607047122,7.38551333,8.250127822,7.967882489,7.842776133
Os01g0105900,397.1572043,-0.414105909,0.190718186,-2.17129744,0.029908696,0.116747379,8.980312474,8.954657627,8.90370022,9.049222971,9.194147115,9.474768459
Os01g0106200,242.2119297,0.166924241,0.198635137,0.84035606,0.400708778,0.639671112,8.660687178,8.566964652,8.760985433,8.571659492,8.628581976,8.465432588
Os01g0106400,97.91648748,2.593648859,0.338767568,7.656130935,1.92E-14,2.81E-12,8.021624059,8.340531119,8.462785626,7.083232607,7.28235733,7.232774948
Os01g0106500,611.5442549,0.717776494,0.236286452,3.037738671,0.002383606,0.016765064,9.398150181,9.794672081,10.22390093,9.020932802,9.408376854,9.354551112
Os01g0106600,49.34262002,0.628963306,0.365660333,1.7200753,0.085418755,0.244082163,7.612323031,7.635181539,7.4580633,7.286756657,7.327741836,7.423221512
Os01g0106700,1104.55102,0.278926738,0.186492644,1.495644722,0.134746262,0.327578288,10.51812175,10.62907068,10.06030983,10.24554474,10.00672548,10.26948293
Os01g0106750,149.7062365,0.198287834,0.262667787,0.754899704,0.450309164,0.682595698,8.250444086,8.021129771,8.437600009,8.092759024,8.035674022,8.270971547
Os01g0106800,639.233691,-0.00543404,0.167313885,-0.032478119,0.974090766,0.989933576,9.485583707,9.666455234,9.746233002,9.699724406,9.725638723,9.486971123
Os01g0106900,410.441958,0.711733731,0.185068854,3.84577802,0.000120171,0.001453791,9.429635648,9.221461382,9.474829023,8.977370754,8.712581619,8.862679588
Os01g0107000,423.4379293,-0.357741507,0.182251293,-1.962902443,0.049657511,0.167704547,9.110314811,8.928491166,9.062717992,9.104113207,9.366489536,9.417227099
Os01g0107400,38.21264528,0.552286301,0.456627211,1.209490559,0.226474436,0.453833463,7.202990241,7.501698418,7.533330084,7.083232607,7.234234358,7.396575874
Os01g0107700,7.479550743,-1.048652467,0.890120538,-1.178101642,0.238756088,0.468964909,6.731229274,6.625349875,6.811047944,6.814385704,6.977114053,6.83727187
Os01g0107900,1872.39431,-0.001250933,0.156380616,-0.007999284,0.993617563,0.997627853,11.10624808,11.11091964,10.7217043,11.0223301,10.90216537,11.04749743
Os01g0108000,586.5410952,-0.255437326,0.184419922,-1.385085319,0.16602638,0.373488812,9.618692319,9.481012438,9.163569002,9.554083021,9.634217622,9.719401556
Os01g0108200,920.0757612,0.298805854,0.150051867,1.991350461,0.046442371,0.159713605,10.19674956,10.29073578,10.10543937,9.956204095,9.825008777,10.04234746
Os01g0108600,39.56643117,-0.029586025,0.514784089,-0.057472687,0.954168663,0.981677,7.259546036,7.266331129,7.508906889,7.270378785,7.677150632,6.999945326
Os01g0108800,79.85150602,1.67698771,0.344818931,4.863386429,1.15E-06,2.73E-05,8.190598051,7.908570894,7.982352124,7.3491521,7.488430304,7.145193891
Os01g0109000,75.15345138,0.798587397,0.372060723,2.146389949,0.031841881,0.12195583,7.716885139,7.675969517,8.130595939,7.421181044,7.384642316,7.72432486
Os01g0109432,12.22443587,1.855727068,0.77204774,2.4036429,0.016232621,0.073955984,7.115688015,7.034638366,7.048817432,6.848669705,6.555561783,6.767367962
Os01g0109500,40.80679435,1.177057242,0.417090492,2.822066829,0.004771523,0.029312093,7.520014065,7.509619329,7.588014771,7.104353611,7.046100072,7.311306674
Os01g0109700,3570.974315,-0.087568451,0.166628511,-0.525531021,0.599214095,0.788326771,11.96279039,11.99293458,11.45884356,11.92279848,11.80804158,11.98907265
Os01g0109750,131.1646221,0.049693281,0.285595742,0.173998676,0.861866503,0.941089466,7.927109453,7.966223152,8.366633575,8.009540722,8.212254348,7.995914497
Os01g0110050,4.373601723,0.523064473,1.378240684,0.379516059,0.704304681,0.853701635,6.853588726,6.522997152,6.760799345,6.382921164,6.555561783,6.868359006
Os01g0110100,22.43470262,1.58818966,0.66066784,2.4039155,0.016220522,0.07393239,7.22611924,7.255812127,7.366399333,6.559612555,6.869208631,7.126313737
Os01g0110200,143.9660144,4.725055682,0.383676127,12.31521941,7.50E-35,3.20E-31,8.604929421,8.607259048,8.978282491,6.735645681,6.925972853,6.976080643
Os01g0110400,1176.253743,-0.660704591,0.150206544,-4.398640528,1.09E-05,0.000190103,10.08367994,10.14813191,9.959532645,10.72334823,10.72748978,10.47637017
Os01g0110500,63.94990646,0.062681577,0.323112978,0.193992757,0.846181554,0.933349546,7.520014065,7.695771861,7.639823011,7.513162154,7.60376015,7.664858439
Os01g0110700,158.6488521,1.644338223,0.234201173,7.021050331,2.20E-12,2.16E-10,8.496117983,8.658157348,8.654591462,7.755937063,7.716844776,7.685061398
Os01g0110800,56.2261781,1.10359501,0.478176137,2.307925731,0.021003268,0.089904231,7.312283632,7.77144262,7.966444181,6.990872439,7.411740696,7.4490932
Os01g0111100,61.98529848,0.465432731,0.337628155,1.378536487,0.168037711,0.376399183,7.590049471,7.68921304,7.749221745,7.421181044,7.411740696,7.633785992
Os01g0111200,1362.768706,-0.073577288,0.141883622,-0.518574924,0.6040572,0.791158319,10.45986384,10.53928857,10.62028066,10.69956477,10.63583646,10.4775812
Os01g0111300,22.43960095,-0.321858442,0.556341573,-0.578526677,0.562908592,0.764518544,6.949441424,7.063102984,7.206863284,6.990872439,7.146510078,7.311306674
Os01g0111400,172.312753,-0.144615757,0.215598491,-0.670764236,0.502370734,0.721948194,8.279316396,8.275055461,8.245788654,8.269244439,8.321110114,8.455084031
Os01g0111600,2622.455947,-0.706305235,0.191813785,-3.682244386,0.00023119,0.002528285,11.25282271,11.06758384,10.87902248,12.10013459,11.63854108,11.38350697
